0 | 旁白 | （金鑾殿[1]。太監甩鞭三響，文武百官魚貫行至殿前。皇帝拾級而上走向龍椅） | 公元一七二二年，清康熙皇帝駕崩，川陝總督年羹堯和步軍統領隆科多在皇位繼承人大戰中為四阿哥胤禛登基立下汗馬功勞，被雍正視作社稷重臣一時權傾朝野，成為新政權的核心人物。
200 | 花穗 |  | 奴婢粗笨，從前跟不得什麼好主，現在在貴人宮裡當差，是奴婢幾生修來的福氣。
200 | 甄嬛 |  | 餘氏被降位，自然也算不得什麼好主，可是她給你的恩惠也不小吧？否則你怎麼敢在我宮裡犯這種殺頭的死罪！
200 | 花穗 |  | 奴婢以前是伺候餘小主的，可是奴婢實在不知貴人您在說什麼呀？
200 | 甄嬛 |  | 你真的不懂我在說什麼？那我那煎藥的藥罐蓋子是怎麼回事？
200 | 花穗 |  | 奴婢實在不知，奴婢是忠心貴人您的呀，還望貴人明察！
200 | 流朱 |  | 好，既然你說對貴人是忠心的，那我們就給你個表忠心的機會。你在餘氏那兒當過差，所以小主格外要留心一些，只要你敢把這炭握在手裡，我們大家便信了你的清白和忠心，以後必定好好待你。
200 | 浣碧 | （花穗靠近炭盆後退縮） | 還不快去！
200 | 流朱 | （花穗手伸近炭盆，再次退縮） | 不敢嗎？看來你對小主的忠心可假得很呢！
200 | 花穗 |  | 貴人饒命！貴人饒命！
200 | 甄嬛 |  | 那就好好說來，若有半句不盡不實的，立刻拖出去打死！
200 | 花穗 |  | 奴婢進來碎玉軒後，有一日餘小主叫了奴婢去，賞了奴婢不少金銀，逼著奴婢去為她做事。奴婢也是一時糊塗，求貴人原諒，求貴人原諒！
200 | 甄嬛 |  | 你只管說你的，這是你將功贖罪的機會，若有半分欺瞞，絕不饒你！
200 | 花穗 |  | 餘小主說，別的事不用奴婢操心，只要在小主的湯藥飲食裡面下藥就行。奴婢按照餘小主的吩咐，在牆角挖了一個小洞，餘小主有什麼吩咐、遞了什麼東西進來，便有人在牆角塞了紙條，奴婢去拿就是了。
200 | 槿汐 | （花穗點頭） （花穗：是） | 那藥也是這樣傳遞進來的吧？也是餘氏教你把蓋子泡到藥水裡煮這樣的奸詐法子？還有什麼同黨沒有？
200 | 花穗 |  | 再沒有了！再沒有了！
200 | 甄嬛 |  | 那餘氏什麼時候會遞紙條遞藥進來？
200 | 花穗 |  | 這——
200 | 流朱 |  | 小允子，掰開她的嘴，把炭灌進去！
200 | 花穗 |  | 我說，我說！餘氏每隔一天讓人把藥放在小洞裡，奴婢去取就行了。
200 | 甄嬛 |  | 每隔一天——那不就是今晚？拿藥是什麼時候，可有什麼暗語？
200 | 花穗 |  | 一更時分，聽著宮牆外有兩聲布穀鳥叫就是了，奴婢再學兩聲布穀鳥叫應他。
200 | 甄嬛 |  | 你有沒有見過送藥那人？
200 | 花穗 |  | 隔著牆，奴婢沒有見到，只曉得是個男人的手，右手掌心上有條疤。
200 | 甄嬛 |  | 小允子，捆了她去庫房，別叫她尋短見。若有人問起來，就說我打發她去了沈貴人那裡。
200 | 小允子 | （拖走花穗） | 嗻。走！
200 | 甄嬛 |  | 槿汐，你今晚就假扮花穗去取藥，再叫小允子叫上幾個得力的太監守株待兔。
200 | 槿汐 |  | 是，奴婢即刻去辦。
200 | 甄嬛 |  | 今日的事得告訴眉姐姐。
200 | 流朱 |  | 是，是得讓沈貴人知道，也好和她一起出個主意。那安答應呢？
200 | 甄嬛 |  | 陵容膽子小，免得嚇著她，就別告訴她了。
200 | 流朱 |  | 也好。小主這回一定要拿定主意，不能再忍讓了。
201 | 槿汐 | （碎玉軒，夜） | 小主，小允子已在上面，等那賊人一出現，便跳下去活捉了他。奴婢取看看。
201 | 眉莊 | （碎玉軒，夜） | 小允子是有些功夫在身上的，若不留神還真看不出來他在那裡。
201 | 槿汐 | （片刻，牆外布穀叫，牆洞處伸進一隻手，被候著的太監抓住） | 抓住了！小允子，抓住了！快！出去！
201 | 眾太監 | （衝出去） （片刻，牆外布穀叫，牆洞處伸進一隻手，被候著的太監抓住） | 快！抓住他！
201 | 賊人 | （賊人被扭進來） | 放開我吧！求求你們，放開我吧！
201 | 太監 | （賊人被扭進來） | 老實點！
201 | 賊人 | （賊人被帶到甄嬛面前） | 小主，放了我吧！
201 | 甄嬛 | （賊人被帶到甄嬛面前） | 擡起他的頭來，怕是舊相識呢。
201 | 眉莊 | （賊人被帶到甄嬛面前） | 小印子？
201 | 甄嬛 | （賊人被帶到甄嬛面前） | 印公公，別來無恙啊。
201 | 小印子 | （賊人被帶到甄嬛面前） | 貴人吉祥。
201 | 甄嬛 | （賊人被帶到甄嬛面前） | 雖然我們長久不見，但好歹也是主僕一場，我問你什麼答就是了。
201 | 眉莊 | （賊人被帶到甄嬛面前） | 板子備下了嗎？
201 | 小允子 | （賊人被帶到甄嬛面前） | 回小主的話，都備好了。
201 | 甄嬛 | （賊人被帶到甄嬛面前） | 如今你在哪裡當差呢？
201 | 小印子 | （賊人被帶到甄嬛面前） | 在餘官女子那兒。
201 | 眉莊 | （賊人被帶到甄嬛面前） | 那可是委屈你了。
201 | 小印子 | （賊人被帶到甄嬛面前） | 當奴才的只是跟著小主罷了，沒的好壞。
201 | 甄嬛 | （賊人被帶到甄嬛面前） | 你倒是想得開。你當初不是跟著你師傅去了麗嬪那兒嗎，怎麼又跟著餘官女子去了？
201 | 小印子 | （賊人被帶到甄嬛面前） | 師傅想跟回貴人您，得罪了麗嬪，連帶著奴才也受了冷落。麗嬪讓奴才將功折罪，伺候餘官女子去。
201 | 甄嬛 | （賊人被帶到甄嬛面前） | 麗嬪倒是為你打算得長遠。我問你，你大半夜在我宮外鬼鬼祟祟在做什麼？
201 | 小印子 | （賊人被帶到甄嬛面前） | 這——
201 | 甄嬛 | （賊人被帶到甄嬛面前） | 小允子。
201 | 小允子 | （賊人被帶到甄嬛面前） | 在。
201 | 甄嬛 | （賊人被帶到甄嬛面前） | 給我狠狠地打這個背主忘恩的東西，打到他說實話為止。
201 | 小允子 | （賊人被帶到甄嬛面前） | 嗻。
201 | 小印子 | （小允子開始動手） （賊人被帶到甄嬛面前） | 貴人饒命啊！貴人饒命啊！貴人、貴人饒命！貴人——我說的都是真的！貴人饒命啊！
201 | 小允子 | （入） （屋內） | 小主，那東西受不住刑，已經招了，說是餘官女子指使他做的。
201 | 甄嬛 | （屋內） | 捆了他，和花穗一起關著，好好看著他們倆。
201 | 小允子 | （出） （屋內） | 嗻。
201 | 甄嬛 | （屋內） | 看這情形，我怎麼能不寒心？！從前我待他也算不薄。
201 | 眉莊 | （屋內） | 不必為這種爛汙東西寒心。現在情勢明瞭，必是餘氏懷恨在心，才使人報復。
201 | 甄嬛 | （屋內） | 我對餘氏已經足夠忍耐，可她還是這樣步步相逼。眉姐姐，要在宮中平安度日怎麼就這麼難呢？
201 | 眉莊 | （屋內） | 人無傷虎意，虎有害人心哪。你和我又何曾逼過旁人，可是她們卻來要咱們的性命。
201 | 甄嬛 | （屋內） | 這件事情，還是得向皇上皇后稟報。
201 | 眉莊 | （屋內） | 人贓俱在，餘氏推脫不了，只是皇上若還對她念了舊情，那倒是不好辦了。
201 | 槿汐 | （屋內） | 毒藥和詛咒並沒有害死小主，倒還有活命的理由，可是欺君之罪就死罪難逃了。小主可記得奴婢曾問過您，除夕夜裡倚梅園是否有人魚目混珠？
202 | 周寧海 | （急入） （翊坤宮） | 娘娘！
202 | 華妃 | （翊坤宮） | 怎麼了，火急火燎的？
202 | 周寧海 | （翊坤宮） | 小印子一晚上都沒有回餘氏那裡，一早得到的訊息，他進了碎玉軒就沒有再出來。
202 | 華妃 | （翊坤宮） | 廢物！
202 | 麗嬪 | （翊坤宮） | 娘娘，太監是沒根的東西，最受不得刑，怕是已經招了。餘氏是肯定保不住了，她會不會供出娘娘來？
202 | 華妃 | （翊坤宮） | 你的意思呢？
202 | 麗嬪 | （翊坤宮） | 一了百了。
202 | 曹貴人 | （翊坤宮） | 不可！娘娘若此時動手，反而引人注目了，乾脆就讓餘氏咬死這件事。
202 | 華妃 | （翊坤宮） | 她要甄嬛的命是為自己報仇，如今能活，怎可能不供出咱們？
202 | 曹貴人 | （翊坤宮） | 她是想活，可她更想全家都能活。
203 | 蘇培盛 | （養心殿。槿汐出來） | 說了這麼久啊？
203 | 槿汐 | （養心殿。槿汐出來） | 意思得說明白呀，我笨嘴拙舌的。
203 | 蘇培盛 | （養心殿。槿汐出來） | 你要笨嘴拙舌，還有幾個聰明的？話是得說明白，還得說得讓皇上動心愛憐是不是？
203 | 槿汐 | （養心殿。槿汐出來） | 多謝公公指點。
203 | 蘇培盛 | （養心殿。槿汐出來） | 哎呦，咱們認識這麼多年了還來這一套？皇上怎麼說？
203 | 槿汐 | （養心殿。槿汐出來） | 還能怎麼說？接下來就有勞公公您了。
203 | 皇帝 | （高聲） （養心殿。槿汐出來） | 蘇培盛！
204 | 余鶯兒 | （余鶯兒住處，幾名侍衛闖入） | 你們是誰？怎麼敢隨便闖進來！
204 | 侍衛 | （余鶯兒住處，幾名侍衛闖入） | 封皇上旨意，廢餘氏入冷宮。
204 | 余鶯兒 | （余鶯兒住處，幾名侍衛闖入） | 我不相信，我不相信！我要見皇上，我要見皇上！
204 | 侍衛 | （余鶯兒住處，幾名侍衛闖入） | 你想見皇上，皇上早就不想見你了，走！
204 | 余鶯兒 | （被架走） （余鶯兒住處，幾名侍衛闖入） | 我不相信，我要見皇上！
205 | 甄嬛 | （入） （養心殿） | 臣妾給皇上請安，皇上萬福金安。
205 | 皇帝 | （養心殿） | 起來吧。
205 | 甄嬛 | （養心殿） | 謝皇上。
205 | 皇帝 | （養心殿） | 昨晚睡得還好嗎？
205 | 甄嬛 | （養心殿） | 多謝皇上關心，只怕睡得太沉才不好。
205 | 皇帝 | （養心殿） | 朕知道，槿汐一早已經來回了朕與皇后。從今往後你的藥飲膳食朕都會叫人著意留心，這種陰險的事不會再發生了。
205 | 甄嬛 | （養心殿） | 也怪臣妾自己粗心，未曾發覺。
205 | 皇帝 | （養心殿） | 不是你未曾發覺，而是後宮爭寵這陰毒之風，朕真是萬萬沒有想到。朕已經命令杖斃了花穗和小印子，至於餘氏，朕將她廢棄冷宮終身幽禁。嬛嬛，你不必再擔驚害怕了。
205 | 甄嬛 | （養心殿） | 嬛嬛向來不與人相爭，只因無意得罪了餘氏，才殃及了那麼多人的性命，嬛嬛罪孽深重，不配身受皇恩。
205 | 皇帝 | （養心殿） | 你這可是多慮了。你本無辜受害，又受連番驚嚇，可別哭壞了身子。
205 | 甄嬛 | （養心殿） | 嬛嬛曾在除夕夜祈福，惟願“逆風如解意，容易莫摧殘”，卻不想天不遂人願。
205 | 皇帝 | （養心殿） | 你在哪兒許的願，許的什麼願？
205 | 甄嬛 | （養心殿） | 除夕夜倚梅園中，但願“逆風如解意，容易莫摧殘”。那夜雪地難行，嬛嬛還不小心弄溼了鞋襪。
205 | 皇帝 | （養心殿） | 那你可曾遇到過什麼人嗎？
205 | 甄嬛 | （養心殿） | 四郎怎麼知道？那夜嬛嬛在倚梅園中遇見一陌生男子，只因是帶病外出，更是男女授受不親，便只能謊稱是園中宮女才得脫身。莫不是那夜的男子？——臣妾失儀，臣妾不知是皇上。望皇上贖罪。
205 | 皇帝 | （養心殿） | 原來是你，竟然是你？朕還認錯了旁人。蘇培盛！
205 | 蘇培盛 | （養心殿） | 奴才在。
205 | 皇帝 | （養心殿） | 傳旨下去，冷宮餘氏欺君罔上毒害嬪妃，賜自盡。
205 | 蘇培盛 | （養心殿） | 嗻，奴才即刻去辦。
205 | 甄嬛 | （養心殿） | 皇上怎麼了，突然要賜死餘氏？
205 | 皇帝 | （養心殿） | 她欺君罔上，竟敢自稱是那日在倚梅園與朕說話的人，藉此攀附皇恩。她屢屢以下犯上，朕都念及當日情饒過了她，如今卻是罪無可恕了。
205 | 甄嬛 | （養心殿） | 餘氏千錯萬錯，也只是仰慕皇上的緣故。
205 | 皇帝 | （養心殿） | 君無戲言，餘氏是罪無可恕了。不過既然你為她求情，朕就准許她的屍首可以迴歸本家。
205 | 甄嬛 | （養心殿） | 多謝皇上。
205 | 皇帝 | （拉起甄嬛就座） （養心殿） | 那日在倚梅園中祈福，可曾帶了什麼心愛的物件嗎？香囊？扇墜？珠花？
205 | 甄嬛 | （養心殿） | 不過是女兒家喜歡的玩意兒罷了，四郎若喜歡，嬛嬛再做一個便是。
205 | 皇帝 | （養心殿） | 此番的事叫你受了驚嚇，要做也要等到放寬了心再做，朕不急，咱們的日子還長著呢。叫你過來是想跟你說件事，戶部請旨要設立井田，底下的官員眾說紛紜，有贊成的，有反對的，朕想與其讓他們亂哄哄的，不如朕親自去看一看，反正就在京郊，幾日就能回來。
205 | 甄嬛 | （養心殿） | 田地是百姓的生計大事，比什麼都重要。皇上什麼時候走？
205 | 皇帝 | （養心殿） | 已經打點好了，即刻可以動身。
205 | 甄嬛 | （養心殿） | 皇上出宮巡視，一切得自己保重。
205 | 皇帝 | （養心殿） | 本想帶著蘇培盛，可他是個太監，出門不太方便。朕做親王的時候時常替先帝出巡，知道怎麼保重自己，你好好在宮裡養著身子，等朕回來。
206 | 華妃 | （翊坤宮） | 曹貴人的事辦得怎麼樣了？
206 | 麗嬪 | （翊坤宮） | 娘娘別看她老低個頭跟悶葫蘆似的，但凡說出兩句話來還挺有道理的。她已經替餘氏去安頓家人了。
206 | 華妃 | （翊坤宮） | 她是心細。
206 | 麗嬪 | （翊坤宮） | 她若沒有替娘娘辦事的幾個本事，那實在是不適合留在娘娘身邊。
206 | 華妃 | （翊坤宮） | 說到本事，從前在王府還是你得寵些，怎的如今倒不如她了？
206 | 麗嬪 | （翊坤宮） | 曹貴人不是有個女兒嗎，皇上總見她多些。
206 | 華妃 | （翊坤宮） | 是啊，哪怕有個女兒也是好的。
207 | 陵容 | （碎玉軒） | 怎麼都懶懶的不說話？
207 | 甄嬛 | （碎玉軒） | 就覺得心裡堵得慌。
207 | 眉莊 | （碎玉軒） | 怎麼啦？
207 | 甄嬛 | （碎玉軒） | 我心裡恨極了被人暗算，也恨極了花穗和小印子，可皇上真的下旨殺了他們，我這心裡並不暢快。
207 | 眉莊 | （碎玉軒） | 是啊，看到殺人我心裡也不暢快，更何況扳倒了一個後面還不知道有多少。
207 | 陵容 | （碎玉軒） | 來一個算一個，只要咱們齊心，誰都別想害咱們。姐姐也真是的，出了這麼大的事情也不告訴我，還是來之前聽皇后娘娘說起，說餘氏謀害姐姐，還冒名是姐姐謀奪皇上聖恩。
207 | 甄嬛 | （碎玉軒） | 我不是故意要瞞你的，這種事聽了傷神害怕，還是不知道的好。
207 | 陵容 | （碎玉軒） | 可是我把姐姐當做自己的姐姐，哪有姐姐出了事妹妹還不知情的道理？
207 | 甄嬛 | （碎玉軒） | 還好，已經沒事了。
207 | 陵容 | （碎玉軒） | 姐姐沒事就好。皇上已經下旨賜死餘氏了，誰要想害咱們，她就得死。
207 | 眉莊 | （碎玉軒） | 別看陵容平時輕聲細語的，卻是個有主意的。
207 | 浣碧 | （入） （碎玉軒） | 小主！餘氏她不肯就死，在冷宮中大吵大鬧，非嚷著要見皇上最後一面才肯就死。
207 | 甄嬛 | （碎玉軒） | 怎麼見？這個時辰皇上怕早已出宮門了。
207 | 眉莊 | （碎玉軒） | 難不成還容她活到皇上回來？
207 | 甄嬛 | （碎玉軒） | 回皇后了沒有？
207 | 眉莊 | （碎玉軒） | 皇后這幾日頭風發作，連床都下不來，自然是管不了這事。
207 | 甄嬛 | （碎玉軒） | 那就只剩華妃能管這件事了。
207 | 浣碧 | （碎玉軒） | 華妃那裡什麼動靜都沒有，說是身子不爽快。
207 | 眉莊 | （碎玉軒） | 她素日與餘氏走得近，這會子怕避嫌還來不及呢。
207 | 浣碧 | （碎玉軒） | 餘氏她口口聲聲地說是受人誣陷，還砸了毒酒形同瘋婦，還在宮中大罵我們小主，言語惡毒令人不忍耳聞。
207 | 甄嬛 | （碎玉軒） | 隨她去吧，垂死掙扎。
207 | 陵容 | （碎玉軒） | 姐姐，我看時候也不早了，我就先回去了。
207 | 甄嬛 | （碎玉軒） | 路上小心。
207 | 眉莊 | （碎玉軒） | 妹妹慢走。
208 | 陵容 | （街上） | 寶鵑，冷宮到底是什麼地方？
208 | 寶鵑 | （街上） | 那是關押被廢黜嬪妃的地方，以前有很多被廢黜的嬪妃、貴人因為受不了被廢黜後的日子，或死或瘋，大家都覺得這個地方陰氣太重，所以才叫冷宮。
208 | 陵容 | （街上） | 那平日了沒人去過嗎？
208 | 寶鵑 | （街上） | 那是什麼鬼地方呀？以前住在附近的宮人常看見有幽魂飄出來連夜地哭，可嚇人了。
208 | 陵容 | （街上） | 我去看看。
209 | 寶鵑 | （冷宮） | 小主，咱別進去了，怪怕人的。
209 | 余鶯兒 | （哭喊掙扎） （冷宮） | 放開我！放開我！放開我！
209 | 蘇培盛 | （陵容推門入） （冷宮） | 餘氏，你就認命吧。安答應怎麼到這兒來了？
209 | 陵容 | （冷宮） | 甄姐姐聽說餘氏辱罵不休，讓我來看看怎麼回事。怎麼，公公的差事還沒了嗎？
209 | 蘇培盛 | （冷宮） | 唉，還撒潑呢。
209 | 余鶯兒 | （蘇培盛：把她扯開！） （冷宮） | 怎麼是你，怎麼會是你！皇上呢？放開我，放開我！
209 | 陵容 | （冷宮） | 皇上是萬金之體，怎會隨意踏足冷宮！
209 | 余鶯兒 | （冷宮） | 都是甄嬛，都是這個賤人！哄得皇上非殺了我不可。
209 | 陵容 | （冷宮） | 你這般不肯就死，不就是想死得明白嗎？那我便來告訴你。甄姐姐的藥中是你動的手腳吧？
209 | 余鶯兒 | （冷宮） | 是，是我指使人乾的。要不是她，我怎麼會失寵於皇上，落得今天這般田地？我恨不得啃她的骨頭喝她的血，叫她這個賤人永世不得超生！
209 | 陵容 | （冷宮） | 恨不得有什麼用！成王敗寇，你還不乖乖伏誅？
209 | 余鶯兒 | （冷宮） | 不，我不能死。我和皇上除夕相遇，皇上喜歡聽我唱崑曲，他不捨得讓我死。
209 | 陵容 | （冷宮） | 除夕之夜倚梅園中，“逆風如解意，容易莫摧殘”，你頂了姐姐的恩寵，還有何臉面活在世上？
209 | 余鶯兒 | （冷宮） | 是她，竟然是她？不，我不能死，我不能死！皇上，皇上，您喜歡聽我唱崑曲，我再給您唱啊，皇上！
209 | 陵容 | （冷宮） | 公公，借一步說話。
209 | 蘇培盛 | （冷宮） | 小主啊。
209 | 陵容 | （冷宮） | 皇上心煩，皇后頭風又犯了，可不能容她這麼繼續鬧下去。
209 | 蘇培盛 | （冷宮） | 小主不知，皇上是賜她自盡，可這瘋婦砸了藥酒撕了白綾，簡直是無計可施。
209 | 陵容 | （冷宮） | 公公服侍皇上很久了吧？
209 | 蘇培盛 | （冷宮） | 奴才服侍皇上已三十餘年了。
209 | 陵容 | （冷宮） | 公公伺候皇上勞苦功高，在宮中又見多識廣，最能揣摩皇上的心思。眼下皇上已經出宮去了，難道真的要等皇上回來見了她再處置嗎？
209 | 蘇培盛 | （冷宮） | 小主的意思是？
209 | 陵容 | （冷宮） | 皇上既是賜她自盡，她死了，公公的差事便也了了，誰會追究她是自盡還是別的？比如說，昔日下令殉葬的嬪妃若不肯就死，該當如何？
209 | 蘇培盛 | （冷宮） | 奴才明白。
209 | 陵容 | （冷宮） | 公公比陵容更明白什麼叫夜長夢多的事。了斷了她，也了了皇上的一樁心事。
209 | 蘇培盛 | （陵容出） （冷宮） | 明白，奴才恭送小主。
209 | 余鶯兒 | （冷宮） | 皇上、皇上就我呀，皇上！甄嬛！你不死在我手裡，必定會有人幫我了結你，你必定不得好死！
209 | 陵容 | （冷宮） | 死到臨頭還不知悔改。
209 | 寶鵑 | （冷宮） | 餘氏她一定會死的，只是小主何必來這鬼氣森森的地方一趟呢？
209 | 陵容 | （冷宮） | 我要讓姐姐知道，我這麼做都是為了她。
209 | 蘇培盛 | （冷宮） | 不把咱們太監當人，這會還不是落在太監的手裡？小廈子。
209 | 小廈子 | （冷宮） | 在。
209 | 蘇培盛 | （小廈子從袖口取出弓弦） （冷宮） | 之前師傅讓你忍，這會兒別忍了。
209 | 余鶯兒 | （冷宮） | 不要，不要啊！我是皇上的人，你們不可以殺我的！你們不可以殺我的！
210 | 小廈子 | （碎玉軒） | 莞貴人吉祥，沈貴人吉祥。回小主的話，餘氏自盡了。
210 | 眉莊 | （碎玉軒） | 了結了就好。
210 | 小廈子 | （碎玉軒） | 弓弦上的工夫，乾淨利落，小主放心。
210 | 甄嬛 | （碎玉軒） | 放心？
210 | 小廈子 | （碎玉軒） | 是啊，可不是小主讓安答應來的嗎？餘氏鬧得厲害，還是安答應說左右是個死，才讓奴才勒死了算完。
210 | 甄嬛 | （碎玉軒） | 活活勒死的？
210 | 小廈子 | （碎玉軒） | 是啊。
210 | 眉莊 | （碎玉軒） | 是安答應的主意？
210 | 小廈子 | （碎玉軒） | 是，否則連師傅也沒想到這層。不過餘氏人緣壞，誰也不會說什麼。
210 | 眉莊 | （碎玉軒） | 做得好，下去吧。
210 | 小廈子 | （出） （碎玉軒） | 奴才告退。
210 | 槿汐 | （甄嬛欲吐） | 小主？
210 | 眉莊 | （甄嬛欲吐） | 你還好吧？
210 | 槿汐 | （甄嬛欲吐） | 小主，沒事吧？
210 | 浣碧 | （甄嬛欲吐） | 死就死了，還說這些噁心人的話做什麼？小主，你快聞聞這個香，去去噁心。
210 | 小允子 | （陵容來到碎玉軒） | 安答應吉祥。
210 | 陵容 | （陵容來到碎玉軒） | 姐姐呢？
210 | 小允子 | （陵容來到碎玉軒） | 正在裡頭和沈貴人用茶呢。奴才去稟報一聲，說小主您來了。
210 | 陵容 | （陵容來到碎玉軒） | 不必了，正好我也想進去討口茶吃，我自己去就是了。
210 | 甄嬛 | （屋內） | 眉姐姐，這件事情是不是我太過分了？
210 | 眉莊 | （屋內） | 人不犯我，我不犯人。可是我沒有想到這件事情陵容會那麼心狠。
210 | 甄嬛 | （屋內） | 陵容也是為了咱們。宮中殺戮之事太多，若不是對別人狠，只怕別人會對你更狠。
210 | 眉莊 | （屋內） | 這些我都知道。只是這件事一開始由你而起，陵容也不曾牽涉其中，現在卻去冷宮讓人活活勒死餘氏，這舉止完全不像她平日柔柔弱弱的樣子。
211 | 甄嬛 |  | 兔子急了也會咬人的。
211 | 眉莊 |  | 可是連蘇培盛都棘手的事，陵容卻能解決得這麼乾脆利落，實在是讓我太意外了。
211 | 甄嬛 |  | 雖然意外，可陵容畢竟也是為了咱們。
211 | 眉莊 |  | 話是如此，可是我總還覺得這不像我日日面對的那個陵容。
212 | 華妃 | （翊坤宮） | 死絕了？
212 | 頌芝 | （翊坤宮） | 死得透透的了，拉去亂葬崗的時候，有人親眼瞧見，下手可真夠狠的，脖子都勒斷了半根，可嚇人了。
212 | 華妃 | （翊坤宮） | 那些沒根兒的東西，做事倒是挺利落的。也難怪呀，她連皇上身邊的人都敢得罪，活該她有今天。她沒說漏了嘴吧？
212 | 頌芝 | （翊坤宮） | 一句都沒有。
212 | 華妃 | （雷聲） （翊坤宮） | 算她識相。從前小看了那個病歪歪的甄嬛，以後走著瞧吧。且悶了這麼些天，也該下場大雨了。
213 | 甄嬛 | （聞得雷聲，床上坐起） （碎玉軒） | 槿汐？
213 | 槿汐 | （碎玉軒） | 哎。小主，怎麼不睡了？
213 | 甄嬛 | （碎玉軒） | 我有些害怕。
213 | 槿汐 | （碎玉軒） | 那些鬼神之說都是世人以訛傳訛的，小主不要放在心上。
213 | 甄嬛 | （碎玉軒） | 我不是害怕鬼神之說，我是害怕雖然餘氏一命歸西，但此事並沒有完全了結。
213 | 槿汐 | （碎玉軒） | 小主是懷疑餘氏背後另有人指使吧？
213 | 甄嬛 | （碎玉軒） | 你細想想，餘氏不像是心計深沉的人，她不過一介宮女出身，怎麼會懂得藥理，知道每次在我湯藥裡下幾分藥量？怎麼悉心安排人在碎玉軒裡應外合？那藥又是從哪兒來的？
213 | 槿汐 | （碎玉軒） | 對，當日小主真應該留下她一個活口細細審問才是。
213 | 甄嬛 | （碎玉軒） | 她恨我入骨，不會說出背後指使的，甚至會反咬我們攀誣旁人。反倒她死了，主使她的人才會有所鬆懈，我們才會有跡可循。
213 | 槿汐 | （碎玉軒） | 那咱們就拿餘氏的死來做一出好戲。
214 | 太監 | （屁滾尿流） （街上，夜。一白衣散發的人影從兩名守更太監面前飄過） | 鬼、鬼呀！
215 | 富察 | （御花園，夜。富察貴人轎行） | 還要多久呀？
215 | 桑兒 | （御花園，夜。富察貴人轎行） | 快到了，小主在寶華殿誦經祈福了半夜，的確辛苦。
215 | 富察 | （傳來女人哭聲） （御花園，夜。富察貴人轎行） | 皇后娘娘近日鳳體欠佳，為皇后祈福也是妾妃應盡之禮。誰在哭啊？
215 | 桑兒 | （忽然看見前面懸著一白衣散發人影） （率先逃走） （御花園，夜。富察貴人轎行） | 聽著怪瘮人的，快走快走！鬼呀！
215 | 眾太監 | （棄轎逃走） （御花園，夜。富察貴人轎行） | 鬼啊！有鬼！
216 | 齊妃 | （延禧宮，富察貴人臥床，齊妃探視） | 你是真看見了？
216 | 淳兒 | （延禧宮，富察貴人臥床，齊妃探視） | 貴人姐姐祈福誦經累了半夜，會不會眼花了？
216 | 富察 | （延禧宮，富察貴人臥床，齊妃探視） | 你要不信，你問桑兒，她也看見了。
216 | 桑兒 | （延禧宮，富察貴人臥床，齊妃探視） | 真的，那是女人的頭髮，冰冰涼的，有腥臭味，是死人味！
216 | 富察 | （延禧宮，富察貴人臥床，齊妃探視） | 你們瞧，桑兒都給嚇傻了。她可是我宮裡最伶俐的丫頭啊。
216 | 欣常在 | （延禧宮，富察貴人臥床，齊妃探視） | 是，我剛才聽說一個小太監也看見了，活活地嚇出一身病來。
216 | 富察 | （延禧宮，富察貴人臥床，齊妃探視） | 我真看見了，穿著白色的衣服，慘白的臉，舌頭有那麼長，上面還滴著血，眼睛裡也滴著血，頭髮散著，一直哭一直哭。
216 | 陵容 | （延禧宮，富察貴人臥床，齊妃探視） | 她哭得那麼慘，莫非是枉死的女人？
216 | 欣常在 | （延禧宮，富察貴人臥床，齊妃探視） | 看你悶不做聲的，說話倒說到點上了。要不是枉死的女人，能半夜哭啊？
216 | 齊妃 | （延禧宮，富察貴人臥床，齊妃探視） | 枉死的女人？那肯定是那個死在冷宮裡的餘氏，餘氏的冤魂來索命來了。
216 | 欣常在 | （延禧宮，富察貴人臥床，齊妃探視） | 別胡說，她是罪該萬死，有什麼枉死的？
216 | 齊妃 | （延禧宮，富察貴人臥床，齊妃探視） | 你知道什麼呀？當時她不肯就死，蘇公公沒法交差了，拿弓弦把她活活地給勒死了。
216 | 欣常在 | （延禧宮，富察貴人臥床，齊妃探視） | 後宮這麼亂，不如等皇上回來我們稟告皇上吧。
216 | 齊妃 | （延禧宮，富察貴人臥床，齊妃探視） | 皇上最討厭鬼神之說了，要是你敢，你去說去吧。
216 | 富察 | （延禧宮，富察貴人臥床，齊妃探視） | 冤有頭債有主，我沒害她呀，她來找我做什麼？
216 | 欣常在 | （延禧宮，富察貴人臥床，齊妃探視） | 所以她沒害你呀，這不轉臉就走了，否則你還能好好地待在這兒？
216 | 淳兒 | （延禧宮，富察貴人臥床，齊妃探視） | 那你們說說她會去找誰呀？
216 | 陵容 | （延禧宮，富察貴人臥床，齊妃探視） | 反正不關莞姐姐的事。
217 | 華妃 | （翊坤宮） | 聽說餘氏一死，莞貴人成宿成宿地睡不著，太醫可曾去看過了？
217 | 眉莊 | （翊坤宮） | 多謝娘娘關心，溫太醫已經在救治了，只是尚未見起色。
217 | 齊妃 | （翊坤宮） | 這幾日宮裡鬧鬼鬧得厲害，前後十幾個人都見過了，真是日夜不安哪。
217 | 麗嬪 | （翊坤宮） | 我也聽說了，太監們都被嚇病了，富察貴人連門都不敢出。
